check_id,old_title,new_title,title_changed,desc_changed,remediation_changed
ai002,[AI] Authentication Analysis,[AI] Authentication Analysis,False,True,True
ai003,[AI] Input Validation Analysis,[AI] Input Validation Analysis,False,True,True
ai004,[AI] Credential Exposure Analysis,[AI] Credential Exposure Analysis,False,True,True
ai005,[AI] Privilege Scope Analysis,[AI] Privilege Scope Analysis,False,True,True
ai006,[AI] Transport Security Analysis,[AI] Transport Security Analysis,False,True,True
ai007,[AI] Data Protection Analysis,[AI] Data Protection Analysis,False,True,True
ai008,[AI] Integrity Analysis,[AI] Integrity Analysis,False,True,True
ai009,[AI] Session Management Analysis,[AI] Session Management Analysis,False,True,True
ai010,[AI] Error Handling Analysis,[AI] Error Handling Analysis,False,True,True
ai011,[AI] Rate Limiting Analysis,[AI] Rate Limiting Analysis,False,True,True
ai012,[AI] SSRF & Network Analysis,[AI] SSRF & Network Analysis,False,True,True
ai013,[AI] Agentic Behavior Analysis,[AI] Agentic Behavior Analysis,False,True,True
ai014,[AI] Sampling Security Analysis,[AI] Sampling Security Analysis,False,True,True
ai015,[AI] Context Security Analysis,[AI] Context Security Analysis,False,True,True
ai016,[AI] Resource Security Analysis,[AI] Resource Security Analysis,False,True,True
ai017,[AI] Multi-Tenant Analysis,[AI] Multi-Tenant Analysis,False,True,True
ai018,[AI] Secrets Management Analysis,[AI] Secrets Management Analysis,False,True,True
ai019,[AI] Server Hardening Analysis,[AI] Server Hardening Analysis,False,True,True
ai020,[AI] Governance Analysis,[AI] Governance Analysis,False,True,True
ai021,[AI] Audit Logging Analysis,[AI] Audit Logging Analysis,False,True,True
ai022,[AI] Supply Chain Analysis,[AI] Supply Chain Analysis,False,True,True
ai023,[AI] Server Identity Analysis,[AI] Server Identity Analysis,False,True,True
ai024,[AI] Prompt Security Analysis,[AI] Prompt Security Analysis,False,True,True
audit001,Missing Logging Configuration,Ensure Logging Configuration is configured,True,True,True
audit002,Missing Audit Trail Capability,Ensure Audit Trail Capability is configured,True,True,True
audit003,Insufficient Log Detail,Ensure Log Detail is sufficient,True,True,True
audit004,Log Tampering Risk,Ensure protection against Log Tampering,True,True,True
audit005,Missing Log Rotation,Ensure Log Rotation is configured,True,True,True
audit006,Missing Security Alerting,Ensure Security Alerting is configured,True,True,True
audit007,Sensitive Data in Logs,Ensure sensitive data is not present in logs,True,True,True
audit008,Missing Access Logging,Ensure Access Logging is configured,True,True,True
audit009,Log Injection Risk,Ensure protection against Log Injection,True,True,True
audit010,Missing Forensic Capability,Ensure Forensic Capability is configured,True,True,True
auth001,No Authentication on HTTP Transport,Ensure Authentication is enabled for HTTP Transport,True,True,True
auth002,Weak OAuth Configuration,Ensure OAuth Configuration has sufficient strength,True,True,True
auth003,Missing TLS on HTTP Transport,Ensure TLS on HTTP Transport is configured,True,True,True
auth004,Localhost Binding Without Authentication,Ensure Authentication is configured for Localhost Binding,True,True,True
auth005,Weak Token Entropy,Ensure Token Entropy has sufficient strength,True,True,True
auth006,Missing Token Expiration,Ensure Token Expiration is configured,True,True,True
auth007,Insecure Token Storage,Ensure Token Storage meets security requirements,True,True,True
auth008,Missing OAuth PKCE,Ensure OAuth PKCE is configured,True,True,True
auth009,Bearer Token in URL Parameters,Ensure Bearer Token is not exposed in URL Parameters,True,True,True
auth010,Missing CSRF Protection,Ensure CSRF Protection is configured,True,True,True
auth011,Hardcoded Credentials in Config,Ensure Credentials in Config is not hardcoded,True,True,True
auth012,Missing Token Rotation,Ensure Token Rotation is configured,True,True,True
auth013,Insecure Cookie Flags,Ensure Cookie Flags meets security requirements,True,True,True
auth014,JWT Algorithm None Attack,Ensure protection against JWT Algorithm None attack,True,True,True
auth015,JWT Weak Signing Key,Ensure JWT signing key has sufficient strength,True,True,True
auth016,Missing Authentication on Sensitive Tools,Ensure Authentication on Sensitive Tools are configured,True,True,True
auth017,API Key in Insecure Headers,Ensure API Key is not exposed in Insecure Headers,True,True,True
auth018,Missing Mutual TLS,Ensure Mutual TLS is configured,True,True,True
auth019,Token Scope Too Broad,Ensure token scope follows least-privilege,True,True,True
auth020,Missing Authorization Header,Ensure Authorization Header is configured,True,True,True
auth021,Basic Auth Over HTTP,Ensure basic authentication is not used over HTTP,True,True,True
auth022,Missing Token Revocation,Ensure Token Revocation is configured,True,True,True
auth023,Shared Secrets Across Servers,Ensure secrets are not shared across servers,True,True,True
auth024,Missing Rate Limit on Auth Endpoints,Ensure Rate Limit on Auth Endpoints are configured,True,True,True
auth025,Session Fixation Risk,Ensure protection against Session Fixation,True,True,True
auth026,Missing Logout Mechanism,Ensure Logout Mechanism is configured,True,True,True
auth027,Weak Password Policy,Ensure Password Policy has sufficient strength,True,True,True
auth028,Missing Multi-Factor Authentication,Ensure Multi-Factor Authentication is configured,True,True,True
auth029,Insecure Auth Redirect,Ensure Auth Redirect meets security requirements,True,True,True
ctx001,Excessive Tool/Resource/Prompt Counts (Over-Sharing),Ensure tool/resource/prompt counts are bounded,True,True,True
ctx002,Hidden Instructions / Prompt Injection in Resources and Prompts,Ensure Resources and Prompts does not contain hidden Instructions / Prompt Injection,True,True,True
ctx003,Context Window Overflow Attack,Ensure protection against Context Window Overflow attack,True,True,True
ctx004,Instruction Hierarchy Violation,Ensure instruction hierarchy is enforced,True,True,True
ctx005,Context Poisoning via Resource Content,Ensure protection against context poisoning via resource content,True,True,True
ctx006,System Prompt Leakage Risk,Ensure protection against System Prompt Leakage,True,True,True
ctx007,Cross-Conversation Context Contamination,Ensure protection against cross-conversation context contamination,True,True,True
ctx008,Token Budget Exhaustion,Ensure protection against Token Budget exhaustion,True,True,True
ctx009,Role Confusion Attack,Ensure protection against Role Confusion attack,True,True,True
ctx010,Multi-Turn Conversation Manipulation,Ensure protection against multi-turn conversation manipulation,True,True,True
cred001,Secrets in MCP Configuration Files,Ensure secrets are not present in MCP Configuration Files,True,True,True
cred002,Environment Variable Leakage,Ensure Environment Variable is not leaked,True,True,True
cred003,Secrets in Tool Definitions,Ensure secrets are not present in Tool Definitions,True,True,True
cred004,GCP Service Account Key Exposure,Ensure GCP Service Account Key is not exposed,True,True,True
cred005,Azure Credential Exposure,Ensure Azure Credential is not exposed,True,True,True
cred006,Database Connection String Exposure,Ensure Database Connection String is not exposed,True,True,True
cred007,SSH Private Key Exposure,Ensure SSH Private Key is not exposed,True,True,True
cred008,JWT Secret in Environment,Ensure JWT secret is not present in environment variables,True,True,True
cred009,OAuth Client Secret Exposure,Ensure OAuth Client Secret is not exposed,True,True,True
cred010,SMTP Credential Exposure,Ensure SMTP Credential is not exposed,True,True,True
cred011,Docker Registry Auth Exposure,Ensure Docker Registry Auth is not exposed,True,True,True
cred012,Kubernetes Secret Exposure,Ensure Kubernetes Secret is not exposed,True,True,True
cred013,Terraform State Secrets,Ensure Terraform state does not contain secrets,True,True,True
cred014,NPM Token Exposure,Ensure NPM Token is not exposed,True,True,True
cred015,PyPI Token Exposure,Ensure PyPI Token is not exposed,True,True,True
cred016,Encryption Key Exposure,Ensure Encryption Key is not exposed,True,True,True
cred017,Webhook Secret Exposure,Ensure Webhook Secret is not exposed,True,True,True
cred018,LDAP Bind Credential Exposure,Ensure LDAP Bind Credential is not exposed,True,True,True
cred019,Redis Auth Exposure,Ensure Redis Auth is not exposed,True,True,True
cred020,Firebase Credential Exposure,Ensure Firebase Credential is not exposed,True,True,True
cred021,Twilio Credential Exposure,Ensure Twilio Credential is not exposed,True,True,True
cred022,SendGrid API Key Exposure,Ensure SendGrid API Key is not exposed,True,True,True
cred023,HashiCorp Vault Token Exposure,Ensure HashiCorp Vault Token is not exposed,True,True,True
dp001,PII in Tool/Resource/Prompt Definitions,Ensure PII is not present in tool/resource/prompt definitions,True,True,True
dp002,Sensitive File Paths in Resource URIs,Ensure Sensitive File Paths are not present in Resource URIs,True,True,True
dp003,Missing Data Classification on Resources,Ensure Data Classification on Resources are configured,True,True,True
dp004,Excessive Data Exposure via Bulk Export Tools,Ensure Data Exposure via Bulk Export Tools are bounded,True,True,True
dp005,Data Leakage via Error Messages,Ensure error messages do not leak sensitive data,True,True,True
dp006,Unmasked Sensitive Fields,Ensure Sensitive Fields are masked,True,True,True
dp007,Missing Data Retention Policy,Ensure Data Retention Policy is configured,True,True,True
dp008,Cross-Origin Data Sharing,Ensure cross-origin data sharing is controlled,True,True,True
dp009,Missing Encryption at Rest,Ensure Encryption at Rest is configured,True,True,True
dp010,Missing Encryption in Transit,Ensure Encryption in Transit is configured,True,True,True
dp011,Excessive Logging of PII,Ensure Logging of PII is bounded,True,True,True
dp012,Missing Data Consent Mechanism,Ensure Data Consent Mechanism is configured,True,True,True
dp013,Data Minimization Violation,Ensure data minimization principles are followed,True,True,True
dp014,Missing Data Anonymization,Ensure Data Anonymization is configured,True,True,True
dp015,Clipboard Data Exposure Risk,Ensure protection against Clipboard Data Exposure,True,True,True
dp016,Screenshot Capture Risk,Ensure protection against Screenshot Capture,True,True,True
dp017,Keylogger Risk,Ensure protection against Keylogger,True,True,True
dp018,Browser History Access,Ensure Browser History access is controlled,True,True,True
dp019,Contact Data Access,Ensure Contact Data access is controlled,True,True,True
dp020,Location Data Exposure,Ensure Location Data is not exposed,True,True,True
dp021,Camera/Microphone Access,Ensure Camera/Microphone access is controlled,True,True,True
dp022,Calendar Data Access,Ensure Calendar Data access is controlled,True,True,True
dp023,Message/Chat Data Access,Ensure Message/Chat Data access is controlled,True,True,True
dp024,Biometric Data Handling,Ensure protection against Biometric Data Handling,True,True,True
dp025,Health Data Exposure,Ensure Health Data is not exposed,True,True,True
dp026,Financial Data Exposure,Ensure Financial Data is not exposed,True,True,True
dp027,Child Data Protection (COPPA),Ensure child data protection (COPPA) compliance,True,True,True
dp028,Missing Data Portability,Ensure Data Portability is configured,True,True,True
dp029,Missing Right to Deletion,Ensure Right to Deletion is configured,True,True,True
dp030,Unbounded Array Parameters,Ensure Array Parameters are bounded,True,True,True
dp031,PII Field Without Protection,Ensure Protection is configured for PII Field,True,True,True
dp032,Bulk Data Export Tool,Ensure bulk data export is controlled,True,True,True
err001,Stack Trace Exposure,Ensure Stack Trace is not exposed,True,True,True
err002,Debug Mode Enabled,Ensure Debug Mode is disabled in production,True,True,True
err003,Verbose Error Messages,Ensure Error Messages does not disclose sensitive information,True,True,True
err004,Missing Error Handling,Ensure Error Handling is configured,True,True,True
err005,Information Disclosure via Errors,Ensure errors do not disclose sensitive information,True,True,True
err006,Missing Error Codes,Ensure Error Codes is configured,True,True,True
err007,Error Message Injection,Ensure protection against Error Message injection,True,True,True
err008,Unhandled Exception Risk,Ensure protection against Unhandled Exception,True,True,True
err009,Error-Based Enumeration,Ensure protection against Error-Based enumeration,True,True,True
err010,Missing Graceful Degradation,Ensure Graceful Degradation is configured,True,True,True
err011,Missing Error Rate Alerting,Ensure Error Rate Alerting is configured,True,True,True
err012,Sensitive File Paths in Errors,Ensure sensitive file paths are not disclosed in errors,True,True,True
err013,Database Errors Exposed,Ensure Database Errors is not exposed,True,True,True
err014,API Version in Error Messages,Ensure API version is not disclosed in error messages,True,True,True
err015,Missing Error Recovery,Ensure Error Recovery is configured,True,True,True
gov001,Missing Security Policy,Ensure Security Policy is configured,True,True,True
gov002,Missing Privacy Policy,Ensure Privacy Policy is configured,True,True,True
gov003,Missing Terms of Service,Ensure Terms of Service is configured,True,True,True
gov004,Missing Compliance Mapping,Ensure Compliance Mapping is configured,True,True,True
gov005,Missing Incident Response Plan,Ensure Incident Response Plan is configured,True,True,True
gov006,Missing Change Management Process,Ensure Change Management Process is configured,True,True,True
gov007,Missing Access Review Process,Ensure Access Review Process is configured,True,True,True
gov008,Missing Vulnerability Management,Ensure Vulnerability Management is configured,True,True,True
gov009,Missing Data Governance Framework,Ensure Data Governance Framework is configured,True,True,True
gov010,Missing Third-Party Risk Assessment,Ensure Third-Party Risk Assessment is configured,True,True,True
gov011,Missing Business Continuity Plan,Ensure Business Continuity Plan is configured,True,True,True
gov012,Missing Disaster Recovery Plan,Ensure Disaster Recovery Plan is configured,True,True,True
gov013,Missing SLA Definition,Ensure SLA Definition is configured,True,True,True
gov014,Missing Regulatory Compliance,Ensure Regulatory Compliance is configured,True,True,True
gov015,Missing Audit Schedule,Ensure Audit Schedule is configured,True,True,True
gov016,Missing Security Training Program,Ensure Security Training Program is configured,True,True,True
gov017,Missing Asset Inventory,Ensure Asset Inventory is configured,True,True,True
gov018,Missing Risk Assessment,Ensure Risk Assessment is configured,True,True,True
gov019,Missing Data Classification Policy,Ensure Data Classification Policy is configured,True,True,True
gov020,Missing Vendor Security Assessment,Ensure Vendor Security Assessment is configured,True,True,True
gov021,Missing Tool Namespace,Ensure Tool Namespace is configured,True,True,True
gov022,Missing Server Version,Ensure Server Version is configured,True,True,True
iv001,Command Injection Risk via Tool Input Schema,Ensure Tool Input Schema is protected against Command Injection,True,True,True
iv002,Path Traversal Risk via Tool Input Schema,Ensure Tool Input Schema is protected against Path Traversal,True,True,True
iv003,SQL Injection Risk via Tool Input Schema,Ensure Tool Input Schema is protected against SQL Injection,True,True,True
iv004,Missing or Empty Input Schema on Tool,Ensure or Empty Input Schema on Tool is configured,True,True,True
iv005,Overly Permissive Tool Input Schema,Ensure Tool Input Schema follows least-privilege,True,True,True
iv006,LDAP Injection Risk,Ensure protection against LDAP Injection,True,True,True
iv007,NoSQL Injection Risk,Ensure protection against NoSQL Injection,True,True,True
iv008,Server-Side Template Injection Risk,Ensure protection against Server-Side Template Injection,True,True,True
iv009,XML External Entity Injection Risk,Ensure protection against XML External Entity Injection,True,True,True
iv010,HTTP Header Injection Risk,Ensure protection against HTTP Header Injection,True,True,True
iv011,Regular Expression DoS (ReDoS),Ensure protection against regular expression DoS (ReDoS),True,True,True
iv012,Integer Overflow Risk,Ensure protection against integer overflow,True,True,True
iv013,Format String Injection,Ensure protection against Format String injection,True,True,True
iv014,XPath Injection Risk,Ensure protection against XPath Injection,True,True,True
iv015,CSV Injection Risk,Ensure protection against CSV Injection,True,True,True
iv016,Unicode Normalization Bypass,Ensure protection against Unicode Normalization bypass,True,True,True
iv017,Null Byte Injection Risk,Ensure protection against Null Byte Injection,True,True,True
iv018,CRLF Injection Risk,Ensure protection against CRLF Injection,True,True,True
iv019,Missing Input Length Constraint,Ensure Input Length Constraint is configured,True,True,True
iv020,Missing Type Constraint,Ensure Type Constraint is configured,True,True,True
iv021,Environment Variable Injection,Ensure protection against Environment Variable injection,True,True,True
iv022,Unsafe Deserialization Risk,Ensure protection against Unsafe Deserialization,True,True,True
iv023,Prototype Pollution Risk,Ensure protection against Prototype Pollution,True,True,True
iv024,Log Injection Risk,Ensure protection against Log Injection,True,True,True
iv025,Template Literal Injection,Ensure protection against Template Literal injection,True,True,True
iv026,Wildcard Parameter Matching,Ensure Parameter Matching does not use wildcards,True,True,True
iv027,Missing Enum Constraint on Action Parameters,Ensure Enum Constraint on Action Parameters are configured,True,True,True
iv028,Excessive Nested Object Depth,Ensure Nested Object Depth is bounded,True,True,True
iv029,Unbounded Array Length,Ensure Array Length is bounded,True,True,True
iv030,Open Additional Properties,Ensure Additional Properties are restricted,True,True,True
iv031,Missing Pattern Validation on String Parameters,Ensure Pattern Validation on String Parameters are configured,True,True,True
iv032,URL Parameter Injection,Ensure protection against URL Parameter injection,True,True,True
iv033,Email Parameter Injection,Ensure protection against Email Parameter injection,True,True,True
iv034,File Upload Without Validation,Ensure Validation is configured for File Upload,True,True,True
iv035,HTML Injection Risk,Ensure protection against HTML Injection,True,True,True
iv036,LDAP Injection Parameters,Ensure protection against LDAP Injection Parameters,True,True,True
iv037,Server-Side Template Injection,Ensure protection against Server-Side Template injection,True,True,True
iv038,HTTP Header Injection (CRLF),Ensure protection against HTTP header injection (CRLF),True,True,True
iv039,NoSQL Injection Parameters,Ensure protection against NoSQL Injection Parameters,True,True,True
iv040,CSV Formula Injection,Ensure protection against CSV Formula injection,True,True,True
iv041,Regex Denial of Service (ReDoS),Ensure protection against regex denial of service (ReDoS),True,True,True
iv042,XML External Entity Injection (XXE),Ensure protection against XML external entity injection (XXE),True,True,True
iv042,XML External Entity (XXE) Injection,Ensure protection against XML external entity (XXE) injection,True,True,True
iv043,Unbounded Numeric Range,Ensure Numeric Range is bounded,True,True,True
iv044,Integer Overflow Risk,Ensure protection against integer overflow,True,True,True
iv045,Deeply Nested Schema,Ensure Schema depth is limited,True,True,True
iv046,Missing Required Field Declaration,Ensure Required Field Declaration is configured,True,True,True
intg001,Missing Version Pinning for Package Manager Commands,Ensure Version Pinning for Package Manager Commands is configured,True,True,True
intg002,Unsigned Server Binaries,Ensure Server Binaries are signed,True,True,True
intg003,Configuration Stored in World-Writable Path,Ensure configuration is not stored in world-writable path,True,True,True
intg004,Missing Integrity Verification for Tool Definitions,Ensure Integrity Verification for Tool Definitions are configured,True,True,True
intg005,Missing Package Lockfile,Ensure Package Lockfile is configured,True,True,True
intg006,Lockfile Integrity Tampered,Ensure lockfile integrity is maintained,True,True,True
intg007,Unsigned Server Updates,Ensure Server Updates are signed,True,True,True
intg008,Missing Software Bill of Materials,Ensure Software Bill of Materials is configured,True,True,True
intg009,Missing Configuration Schema,Ensure Configuration Schema is configured,True,True,True
intg010,Tool Schema Drift Detection,Ensure tool schema integrity is maintained,True,True,True
intg011,Missing Reproducible Build,Ensure Reproducible Build is configured,True,True,True
intg012,Dependency Confusion Risk,Ensure protection against Dependency Confusion,True,True,True
intg013,Typosquatting Risk,Ensure protection against Typosquatting,True,True,True
intg014,Missing Subresource Integrity,Ensure Subresource Integrity is configured,True,True,True
intg015,Binary Planting Risk,Ensure protection against Binary Planting,True,True,True
intg016,Insecure Config File Permissions,Ensure Config File Permissions meets security requirements,True,True,True
intg017,Missing Timestamp Verification,Ensure Timestamp Verification is configured,True,True,True
intg018,Schema-Less Tools,Ensure Tools has a schema,True,True,True
intg019,Empty Tool Descriptions,Ensure Tool Descriptions are populated,True,True,True
intg020,Inconsistent Tool Naming Convention,Ensure tool naming convention is consistent,True,True,True
mt001,Missing Tenant Isolation,Ensure Tenant Isolation is configured,True,True,True
mt002,Shared Resource Cross-Tenant Access,Ensure Resource Cross-Tenant Access is not shared,True,True,True
mt003,Tenant Data Leakage,Ensure Tenant Data is not leaked,True,True,True
mt004,Missing Tenant Context Validation,Ensure Tenant Context Validation is configured,True,True,True
mt005,Tenant Impersonation Risk,Ensure protection against Tenant Impersonation,True,True,True
mt006,Shared Credential Store,Ensure Credential Store is not shared,True,True,True
mt007,Missing Tenant-Specific Audit,Ensure Tenant-Specific Audit is configured,True,True,True
mt008,Tenant Resource Exhaustion,Ensure protection against Tenant Resource exhaustion,True,True,True
mt009,Cross-Tenant Tool Access,Ensure cross-tenant tool access is prevented,True,True,True
mt010,Missing Tenant Configuration Isolation,Ensure Tenant Configuration Isolation is configured,True,True,True
priv001,Overprivileged Filesystem Access Tool,Ensure Filesystem Access Tool follows least-privilege,True,True,True
priv002,Unrestricted Network Access Tool,Ensure Network Access Tool is restricted,True,True,True
priv003,Shell Execution Capability Detected,Ensure Shell Execution Capability is not present,True,True,True
priv004,Cloud Metadata Service Access,Ensure cloud metadata service access is restricted,True,True,True
priv005,Destructive Operations Without Confirmation,Ensure Confirmation is configured for Destructive Operations,True,True,True
priv006,RBAC Bypass Risk,Ensure protection against RBAC Bypass,True,True,True
priv007,Sudo/Root Elevation,Ensure sudo/root elevation is restricted,True,True,True
priv008,Container Escape Risk,Ensure protection against Container Escape,True,True,True
priv009,Unrestricted Process Spawning,Ensure Process Spawning is restricted,True,True,True
priv010,Environment Variable Modification,Ensure protection against Environment Variable Modification,True,True,True
priv011,System Registry Access,Ensure System Registry access is controlled,True,True,True
priv012,Kernel Module Loading,Ensure protection against Kernel Module Loading,True,True,True
priv013,Cron/Scheduled Task Creation,Ensure cron/scheduled task creation is restricted,True,True,True
priv014,User Management Operations,Ensure protection against User Management Operations,True,True,True
priv015,Firewall Rule Modification,Ensure protection against Firewall Rule Modification,True,True,True
priv016,Package Installation Rights,Ensure package installation rights are restricted,True,True,True
priv017,System Service Management,Ensure protection against System Service Management,True,True,True
priv018,Database Admin Operations,Ensure protection against Database Admin Operations,True,True,True
priv019,IDOR in Resource Access,Ensure protection against IDOR in resource access,True,True,True
priv020,Missing Resource Authorization,Ensure Resource Authorization is configured,True,True,True
priv021,Horizontal Privilege Escalation,Ensure protection against horizontal privilege escalation,True,True,True
priv022,Missing Least Privilege,Ensure Least Privilege is configured,True,True,True
priv023,Cross-Tenant Data Access,Ensure cross-tenant data access is prevented,True,True,True
pmt001,Prompt Argument Injection,Ensure protection against Prompt Argument injection,True,True,True
pmt002,Jailbreak Phrases in Prompt Definitions,Ensure protection against Jailbreak Phrases in Prompt Definitions,True,True,True
pmt003,Role Reassignment in Prompts,Ensure protection against Role Reassignment in Prompts,True,True,True
pmt004,Prompt Template Injection,Ensure protection against Prompt Template injection,True,True,True
pmt005,Missing Prompt Sanitization,Ensure Prompt Sanitization is configured,True,True,True
pmt006,Prompt Chaining Risk,Ensure protection against Prompt Chaining,True,True,True
pmt007,Excessive Prompt Arguments,Ensure Prompt Arguments are bounded,True,True,True
pmt008,Prompt Argument Type Coercion,Ensure protection against Prompt Argument Type Coercion,True,True,True
pmt009,Dangerous Default Prompt Arguments,Ensure default prompt arguments are safe,True,True,True
pmt010,Prompt Output Manipulation,Ensure protection against Prompt Output manipulation,True,True,True
pmt011,Multilingual Prompt Injection,Ensure protection against Multilingual Prompt injection,True,True,True
pmt012,Prompt Encoding Bypass,Ensure protection against Prompt Encoding bypass,True,True,True
pmt013,Missing Prompt Length Limit,Ensure Prompt Length Limit is configured,True,True,True
pmt014,Prompt History Manipulation,Ensure protection against Prompt History manipulation,True,True,True
pmt015,Prompt Metadata Leakage,Ensure Prompt Metadata is not leaked,True,True,True
pmt016,Hardcoded Secrets in Prompt Templates,Ensure Secrets in Prompt Templates is not hardcoded,True,True,True
pmt017,Untyped Prompt Arguments,Ensure Prompt Arguments are typed,True,True,True
pmt018,System Prompt Leakage,Ensure System Prompt is not leaked,True,True,True
pmt019,Excessive Prompt Argument Count,Ensure Prompt Argument Count is bounded,True,True,True
pmt020,Prompt Role Manipulation,Ensure protection against Prompt Role manipulation,True,True,True
dos001,Missing Rate Limiting,Ensure Rate Limiting is configured,True,True,True
dos002,Missing Request Throttling,Ensure Request Throttling is configured,True,True,True
dos003,Resource Exhaustion Risk,Ensure protection against Resource Exhaustion,True,True,True
dos004,Missing Concurrent Request Limit,Ensure Concurrent Request Limit is configured,True,True,True
dos005,Missing Payload Size Limit,Ensure Payload Size Limit is configured,True,True,True
dos006,Missing Timeout Configuration,Ensure Timeout Configuration is configured,True,True,True
dos007,Connection Pool Exhaustion,Ensure protection against Connection Pool exhaustion,True,True,True
dos008,Memory Exhaustion Risk,Ensure protection against Memory Exhaustion,True,True,True
dos009,Disk Exhaustion Risk,Ensure protection against Disk Exhaustion,True,True,True
dos010,CPU Exhaustion Risk,Ensure protection against CPU Exhaustion,True,True,True
dos011,Missing Recursive Operation Limit,Ensure Recursive Operation Limit is configured,True,True,True
dos012,Missing Batch Operation Limit,Ensure Batch Operation Limit is configured,True,True,True
dos013,Slowloris Attack Risk,Ensure protection against Slowloris Attack,True,True,True
dos014,Amplification Attack Risk,Ensure protection against Amplification Attack,True,True,True
dos015,Missing Backpressure Mechanism,Ensure Backpressure Mechanism is configured,True,True,True
res001,Missing Resource Access Control,Ensure Resource Access Control is configured,True,True,True
res002,Resource Template Path Traversal,Ensure protection against Resource Template Path Traversal,True,True,True
res003,Missing Resource Content Validation,Ensure Resource Content Validation is configured,True,True,True
res004,Resource Injection via URI,Ensure protection against Resource Injection via URI,True,True,True
res005,Resource Enumeration Risk,Ensure protection against Resource Enumeration,True,True,True
res006,Resource Race Condition,Ensure protection against Resource Race Condition,True,True,True
res007,Resource Caching Security Risk,Ensure protection against Resource Caching Security,True,True,True
res008,Resource Symlink Following,Ensure Resource Symlink following is restricted,True,True,True
res009,Missing Resource Size Limit,Ensure Resource Size Limit is configured,True,True,True
res010,Resource Type Confusion,Ensure protection against Resource Type Confusion,True,True,True
res011,Missing Resource Origin Validation,Ensure Resource Origin Validation is configured,True,True,True
res012,Missing Resource Lifetime Management,Ensure Resource Lifetime Management is configured,True,True,True
res013,Dynamic Resource Injection,Ensure protection against Dynamic Resource injection,True,True,True
res014,Missing Resource Schema Validation,Ensure Resource Schema Validation is configured,True,True,True
res015,Resource Subscription Abuse,Ensure protection against Resource Subscription abuse,True,True,True
res016,Missing URI Normalization,Ensure URI Normalization is configured,True,True,True
res017,Resource Content-Type Mismatch,Ensure Resource Content-Type is consistent,True,True,True
res018,Resource Encoding Bypass,Ensure protection against Resource Encoding bypass,True,True,True
res019,Missing Resource Quota,Ensure Resource Quota is configured,True,True,True
res020,Resource Dependency Chain Risk,Ensure protection against Resource Dependency Chain,True,True,True
res021,Wildcard Resource URI Patterns,Ensure Resource URI Patterns does not use wildcards,True,True,True
res022,Sensitive File Extension Exposure,Ensure Sensitive File Extension is not exposed,True,True,True
res023,Resource Without MIME Type,Ensure MIME Type is configured for Resource,True,True,True
res024,Resource URI Template Injection,Ensure protection against Resource URI Template injection,True,True,True
res025,Recursive Directory Resource,Ensure Directory Resource recursion is limited,True,True,True
samp001,Sampling Request Injection,Ensure protection against Sampling Request injection,True,True,True
samp002,Model Manipulation via Sampling,Ensure protection against Model Manipulation via Sampling,True,True,True
samp003,Unauthorized Sampling Requests,Ensure Sampling Requests is authorized,True,True,True
samp004,Data Exfiltration via Sampling,Ensure protection against Data Exfiltration via Sampling,True,True,True
samp005,Privilege Escalation via Sampling,Ensure protection against Privilege Escalation via Sampling,True,True,True
samp006,Recursive Sampling Attack,Ensure protection against Recursive Sampling attack,True,True,True
